               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083033,            0.022667,            0.052894,             0.27796,             0.18683,             0.11519,            0.054173,            0.048761,           0.0078786,            0.037529,            0.070259,           0.0033046,           0.0033046
                   1,            0.054677,            0.020029,            0.043201,             0.32779,             0.15482,              0.1011,            0.043546,            0.050303,           0.0082673,            0.034805,            0.040232,           0.0066116,           0.0066116
                   2,             0.04993,            0.017425,            0.035341,             0.70281,             0.32239,             0.36693,             0.17308,            0.047206,           0.0059928,            0.025711,             0.01018,           0.0098923,           0.0098923
                   3,            0.046334,            0.017161,            0.033009,             0.60133,             0.36721,             0.38588,             0.14812,            0.051943,           0.0054341,            0.023724,           0.0098812,           0.0098812,           0.0098812
                   4,            0.044845,            0.016353,            0.030198,             0.72114,             0.52589,             0.56887,             0.25646,            0.041464,           0.0054582,              0.0212,           0.0098812,           0.0098812,           0.0098812
                   5,            0.043607,            0.017108,            0.030747,             0.78694,             0.51538,             0.59717,             0.28091,            0.040497,           0.0056251,             0.01863,           0.0098416,           0.0098416,           0.0098416
                   6,            0.040731,             0.01674,            0.029845,             0.84306,             0.45201,             0.52639,             0.19774,            0.046697,           0.0057175,            0.019039,            0.009802,            0.009802,            0.009802
                   7,             0.04127,            0.016476,            0.028482,             0.87753,             0.48262,             0.55007,             0.23889,            0.045384,           0.0057211,            0.017919,           0.0097624,           0.0097624,           0.0097624
                   8,            0.039871,            0.016504,             0.02814,              0.7373,             0.49243,             0.53304,             0.24453,            0.040545,           0.0056107,            0.020829,           0.0097228,           0.0097228,           0.0097228
                   9,            0.039531,            0.016507,            0.026588,             0.87838,             0.57389,             0.67075,             0.35664,            0.039892,           0.0053525,            0.016985,           0.0096832,           0.0096832,           0.0096832
                  10,            0.038807,            0.016382,            0.026043,              0.7874,             0.59865,             0.59497,             0.30279,             0.03856,           0.0052437,            0.017658,           0.0096436,           0.0096436,           0.0096436
                  11,            0.038533,            0.015968,            0.024619,              0.8193,             0.53665,             0.59456,             0.28652,            0.038287,           0.0050613,            0.017042,            0.009604,            0.009604,            0.009604
                  12,            0.038013,            0.015918,            0.026507,             0.72005,             0.40582,             0.44386,             0.19381,            0.047212,           0.0063183,            0.017636,           0.0095644,           0.0095644,           0.0095644
                  13,            0.036296,            0.016124,            0.025426,             0.93663,             0.55483,             0.67674,             0.36413,            0.036893,           0.0050638,            0.015707,           0.0095248,           0.0095248,           0.0095248
                  14,            0.038548,            0.015567,            0.024077,             0.83294,             0.58123,              0.6372,             0.30249,            0.038721,           0.0051409,            0.018895,           0.0094852,           0.0094852,           0.0094852
                  15,            0.037457,            0.016032,            0.024666,              0.8757,             0.60488,              0.6703,             0.34125,            0.038441,           0.0049318,            0.018036,           0.0094456,           0.0094456,           0.0094456
                  16,            0.036041,            0.015658,            0.024656,             0.88229,             0.60057,             0.69351,             0.37909,            0.037435,            0.005056,            0.014513,            0.009406,            0.009406,            0.009406
                  17,            0.035635,            0.015454,            0.024046,             0.82218,             0.52672,             0.57336,             0.28579,            0.043027,           0.0057166,            0.015524,           0.0093664,           0.0093664,           0.0093664
                  18,            0.035859,             0.01505,            0.022004,             0.89827,             0.66104,             0.72985,             0.37942,            0.036408,             0.00506,            0.013694,           0.0093268,           0.0093268,           0.0093268
                  19,            0.035435,            0.015327,            0.023005,             0.85043,             0.69038,             0.72508,              0.3842,            0.037515,           0.0046918,            0.014374,           0.0092872,           0.0092872,           0.0092872
                  20,             0.03463,             0.01495,            0.022833,             0.84865,             0.66096,             0.71921,             0.40385,             0.03516,           0.0049278,            0.015484,           0.0092476,           0.0092476,           0.0092476
                  21,            0.033013,            0.015131,            0.020427,             0.79779,             0.52016,             0.55441,             0.26022,            0.039009,           0.0056236,            0.017466,            0.009208,            0.009208,            0.009208
                  22,            0.033942,            0.015282,            0.022478,             0.90922,             0.65245,             0.71333,             0.36751,            0.038271,            0.004844,            0.018437,           0.0091684,           0.0091684,           0.0091684
                  23,             0.03298,            0.014956,            0.021333,             0.83412,              0.6183,             0.65922,             0.35439,            0.037104,           0.0049903,            0.017301,           0.0091288,           0.0091288,           0.0091288
                  24,            0.033732,            0.014771,            0.021021,             0.89313,             0.58335,             0.70023,              0.3883,            0.036113,           0.0053738,            0.023416,           0.0090892,           0.0090892,           0.0090892
                  25,            0.032908,            0.015055,            0.021764,             0.88158,             0.67016,             0.71312,             0.40775,             0.03701,           0.0045497,            0.014646,           0.0090496,           0.0090496,           0.0090496
                  26,            0.033362,             0.01501,            0.020424,             0.92348,              0.6996,             0.73794,             0.41341,            0.035109,           0.0045703,            0.017198,             0.00901,             0.00901,             0.00901
                  27,             0.03287,            0.014715,            0.019427,             0.85882,             0.68914,             0.70593,             0.37975,            0.035751,           0.0047255,            0.015871,           0.0089704,           0.0089704,           0.0089704
                  28,            0.032906,            0.014638,             0.02049,             0.94148,             0.63796,             0.72929,             0.39384,            0.037441,           0.0047154,            0.015403,           0.0089308,           0.0089308,           0.0089308
                  29,            0.031581,            0.014453,            0.020527,             0.85219,             0.64302,             0.67975,             0.33325,            0.038754,           0.0048174,            0.014202,           0.0088912,           0.0088912,           0.0088912
                  30,            0.033666,            0.014567,            0.020628,             0.91636,             0.63876,              0.7144,             0.40234,              0.0347,           0.0049678,            0.016681,           0.0088516,           0.0088516,           0.0088516
                  31,            0.032246,            0.014756,            0.020575,             0.86323,             0.68401,             0.72406,              0.4189,            0.036013,           0.0048116,            0.016557,            0.008812,            0.008812,            0.008812
                  32,             0.03262,            0.014623,            0.020166,             0.88967,             0.61589,             0.68005,             0.36238,            0.036677,            0.004973,            0.014402,           0.0087724,           0.0087724,           0.0087724
                  33,            0.031935,            0.014526,            0.020614,             0.89868,             0.65569,              0.7301,             0.41328,            0.035243,            0.005066,            0.017799,           0.0087328,           0.0087328,           0.0087328
                  34,            0.031652,              0.0146,            0.020585,             0.89802,             0.64474,             0.69062,             0.35443,            0.037542,           0.0050802,            0.016538,           0.0086932,           0.0086932,           0.0086932
                  35,            0.031659,             0.01444,            0.019527,             0.87078,             0.64671,             0.69299,             0.37802,            0.036401,           0.0052129,            0.014709,           0.0086536,           0.0086536,           0.0086536
                  36,            0.031236,            0.014422,            0.019677,              0.8749,             0.62927,             0.69103,             0.38916,            0.038203,           0.0048768,            0.018488,            0.008614,            0.008614,            0.008614
                  37,            0.030499,            0.014573,            0.020812,             0.93655,             0.66339,             0.70288,             0.38523,            0.036909,           0.0049782,            0.014262,           0.0085744,           0.0085744,           0.0085744
                  38,            0.030671,             0.01437,            0.017811,             0.88499,             0.65911,             0.70031,             0.38584,            0.035221,           0.0047468,            0.017889,           0.0085348,           0.0085348,           0.0085348
                  39,            0.031426,            0.014509,            0.019276,             0.87095,             0.66735,             0.70382,             0.38196,            0.035925,           0.0050886,            0.018811,           0.0084952,           0.0084952,           0.0084952
                  40,            0.031133,            0.013987,            0.018944,             0.93083,             0.62296,             0.70082,              0.3973,            0.036537,           0.0051682,             0.01613,           0.0084556,           0.0084556,           0.0084556
                  41,            0.030365,            0.013934,            0.018899,             0.71278,             0.66402,             0.72068,             0.39865,            0.036171,           0.0047274,            0.015969,            0.008416,            0.008416,            0.008416
                  42,            0.031217,            0.014559,            0.018941,             0.89747,             0.63929,             0.69846,             0.38869,            0.035295,           0.0050396,            0.017175,           0.0083764,           0.0083764,           0.0083764
                  43,              0.0318,            0.014154,            0.017762,              0.9326,             0.66041,              0.7152,              0.4142,            0.034678,            0.004847,            0.017295,           0.0083368,           0.0083368,           0.0083368
                  44,            0.030647,            0.014137,             0.01868,             0.83444,             0.64787,             0.69589,             0.40634,            0.035037,           0.0048671,             0.01581,           0.0082972,           0.0082972,           0.0082972
                  45,            0.030674,            0.014308,            0.017448,             0.85683,             0.60427,             0.65617,             0.37597,            0.037607,           0.0052527,            0.016062,           0.0082576,           0.0082576,           0.0082576
                  46,            0.030319,            0.014317,            0.017984,             0.91444,             0.62351,             0.68683,             0.35741,            0.035558,           0.0054036,            0.014131,            0.008218,            0.008218,            0.008218
                  47,            0.030846,            0.014356,            0.018672,             0.81346,             0.71079,             0.68654,             0.39255,              0.0375,           0.0050107,            0.013399,           0.0081784,           0.0081784,           0.0081784
                  48,            0.031295,            0.014227,            0.018542,             0.89793,              0.6421,             0.71329,             0.39842,            0.036358,            0.004983,            0.017318,           0.0081388,           0.0081388,           0.0081388
                  49,            0.029482,            0.013899,            0.017914,             0.71673,             0.73734,             0.72466,              0.4182,            0.036142,           0.0050972,            0.014004,           0.0080992,           0.0080992,           0.0080992
                  50,            0.030267,            0.013895,            0.015008,             0.85771,             0.62485,             0.70249,             0.37861,            0.035411,           0.0053513,            0.012395,           0.0080596,           0.0080596,           0.0080596
                  51,            0.029572,            0.013789,            0.018737,             0.75418,             0.71289,             0.72738,             0.40903,            0.036464,           0.0051166,            0.015225,             0.00802,             0.00802,             0.00802
                  52,             0.02933,            0.013957,            0.017674,             0.77221,             0.71888,             0.74821,             0.44591,             0.03679,           0.0048422,            0.012107,           0.0079804,           0.0079804,           0.0079804
                  53,            0.029474,            0.013654,              0.0164,             0.73323,             0.72465,             0.74775,             0.43883,            0.035042,            0.004971,            0.014875,           0.0079408,           0.0079408,           0.0079408
                  54,            0.030355,             0.01375,            0.015684,             0.79527,              0.7368,             0.74042,              0.4178,            0.035531,           0.0047425,            0.015221,           0.0079012,           0.0079012,           0.0079012
                  55,            0.029332,            0.013498,            0.016003,             0.78052,              0.6267,             0.70199,             0.38152,            0.037279,           0.0051816,            0.020426,           0.0078616,           0.0078616,           0.0078616
                  56,            0.028614,            0.013748,            0.016664,             0.78594,              0.7311,             0.73962,              0.4156,             0.03486,           0.0048834,            0.016415,            0.007822,            0.007822,            0.007822
                  57,            0.029495,            0.013832,            0.017151,             0.84223,             0.68042,             0.69476,             0.38934,            0.036186,           0.0052376,            0.015333,           0.0077824,           0.0077824,           0.0077824
                  58,             0.02947,            0.013349,            0.016164,             0.69653,             0.62329,              0.6768,             0.36653,            0.038409,            0.005147,            0.016522,           0.0077428,           0.0077428,           0.0077428
                  59,            0.028883,            0.013716,            0.016285,             0.72325,             0.70536,             0.70562,             0.40401,             0.03498,            0.004803,            0.016559,           0.0077032,           0.0077032,           0.0077032
                  60,             0.02899,            0.013645,            0.015523,             0.70421,             0.69948,             0.71213,             0.41489,            0.036105,           0.0051396,            0.014695,           0.0076636,           0.0076636,           0.0076636
                  61,            0.029853,            0.013883,            0.014997,             0.79186,             0.68839,             0.72237,             0.41822,            0.034851,           0.0049915,            0.016133,            0.007624,            0.007624,            0.007624
                  62,              0.0288,            0.013666,            0.013385,             0.83243,             0.69422,             0.76102,             0.44776,            0.035353,           0.0052742,             0.01461,           0.0075844,           0.0075844,           0.0075844
                  63,            0.028465,            0.013338,            0.015082,             0.83743,             0.69247,             0.73094,             0.43307,            0.037294,           0.0050486,             0.01363,           0.0075448,           0.0075448,           0.0075448
                  64,            0.029641,            0.013518,            0.015638,             0.85275,             0.72501,             0.76282,             0.44885,            0.035657,           0.0047998,             0.01594,           0.0075052,           0.0075052,           0.0075052
                  65,            0.029476,            0.013364,            0.014363,             0.75535,             0.73174,             0.73634,             0.42309,            0.034495,            0.004995,            0.017952,           0.0074656,           0.0074656,           0.0074656
                  66,            0.030473,            0.013272,            0.015622,             0.81061,             0.68625,             0.74872,             0.42911,            0.034802,           0.0048644,            0.018472,            0.007426,            0.007426,            0.007426
                  67,            0.029185,            0.013434,             0.01448,             0.74038,              0.7147,             0.71839,             0.41476,            0.034913,           0.0047895,            0.018053,           0.0073864,           0.0073864,           0.0073864
                  68,            0.028506,            0.013697,            0.014642,             0.89543,             0.69615,              0.7258,             0.41174,            0.035164,           0.0047785,            0.010995,           0.0073468,           0.0073468,           0.0073468
                  69,            0.030213,            0.013221,            0.013995,             0.73605,             0.66482,             0.71076,             0.41247,            0.035136,           0.0048426,            0.022247,           0.0073072,           0.0073072,           0.0073072
                  70,            0.028597,            0.013515,            0.013873,             0.73923,             0.70323,             0.71897,             0.41576,            0.034352,           0.0047155,            0.021523,           0.0072676,           0.0072676,           0.0072676
                  71,            0.028755,            0.013389,            0.013511,             0.75942,             0.70954,             0.72995,             0.42321,            0.034647,             0.00513,            0.022875,            0.007228,            0.007228,            0.007228
                  72,            0.030201,            0.013378,            0.015186,             0.69471,             0.73711,             0.70995,             0.38448,            0.036855,           0.0049695,            0.022203,           0.0071884,           0.0071884,           0.0071884
                  73,            0.027848,            0.012943,            0.013444,             0.74524,             0.62377,             0.68925,             0.42844,            0.034562,           0.0048981,            0.023208,           0.0071488,           0.0071488,           0.0071488
                  74,             0.02799,            0.013258,             0.01352,             0.76569,             0.69299,             0.72391,              0.4341,             0.03535,           0.0047486,            0.019878,           0.0071092,           0.0071092,           0.0071092
                  75,            0.028703,            0.013048,            0.015148,             0.71068,             0.78107,             0.74059,              0.4212,            0.036636,           0.0047158,            0.022927,           0.0070696,           0.0070696,           0.0070696
                  76,            0.027792,            0.013141,            0.013279,             0.75365,             0.68859,              0.7242,             0.41391,            0.035058,           0.0048119,            0.018875,             0.00703,             0.00703,             0.00703
                  77,            0.028604,             0.01312,            0.014527,             0.70891,             0.67405,             0.70005,             0.41178,            0.033014,           0.0050639,            0.020267,           0.0069904,           0.0069904,           0.0069904
                  78,            0.028626,            0.013108,            0.016038,             0.69736,             0.68085,             0.67788,             0.40567,            0.033199,           0.0049042,            0.018387,           0.0069508,           0.0069508,           0.0069508
                  79,            0.027583,            0.013228,            0.013223,              0.7009,             0.72658,             0.69759,             0.40921,            0.033042,            0.005001,            0.016724,           0.0069112,           0.0069112,           0.0069112
                  80,            0.028346,            0.012899,            0.014443,             0.72043,             0.73175,             0.70438,             0.41658,            0.034101,           0.0047512,             0.01583,           0.0068716,           0.0068716,           0.0068716
                  81,            0.028499,            0.013008,            0.014148,             0.89696,             0.67069,             0.69058,             0.38845,            0.035105,           0.0049725,            0.018956,            0.006832,            0.006832,            0.006832
                  82,            0.027955,            0.012798,            0.014417,              0.7129,             0.68617,             0.69613,             0.40419,            0.033199,           0.0047066,            0.023262,           0.0067924,           0.0067924,           0.0067924
                  83,            0.027925,            0.013214,            0.013242,              0.8877,             0.70995,             0.71177,              0.4064,            0.037184,           0.0049391,            0.019337,           0.0067528,           0.0067528,           0.0067528
                  84,            0.027924,            0.012722,            0.013135,             0.74088,             0.68976,             0.70869,              0.4147,            0.034252,           0.0049507,            0.024705,           0.0067132,           0.0067132,           0.0067132
                  85,             0.02772,             0.01266,            0.011682,             0.71862,             0.67877,             0.70169,             0.40491,             0.03454,           0.0046354,            0.021094,           0.0066736,           0.0066736,           0.0066736
                  86,            0.027852,            0.012646,             0.01314,             0.73167,             0.66485,             0.70309,             0.41734,            0.034521,           0.0048416,             0.02206,            0.006634,            0.006634,            0.006634
                  87,            0.027741,            0.012474,            0.013081,             0.74338,             0.65677,             0.70927,             0.40594,            0.035414,           0.0048781,            0.019831,           0.0065944,           0.0065944,           0.0065944
                  88,            0.027343,            0.012956,            0.012159,             0.89541,             0.68298,              0.7311,             0.42548,            0.034708,           0.0048403,            0.021324,           0.0065548,           0.0065548,           0.0065548
                  89,            0.027103,             0.01287,            0.013764,              0.7025,             0.67838,             0.71966,             0.44397,            0.033611,           0.0046512,            0.023859,           0.0065152,           0.0065152,           0.0065152
                  90,            0.027318,            0.013059,            0.013851,             0.76002,             0.74557,              0.7478,             0.44084,            0.034126,           0.0046772,            0.020039,           0.0064756,           0.0064756,           0.0064756
                  91,            0.027066,            0.012878,            0.013661,             0.90163,             0.71277,             0.73717,             0.43317,            0.034437,           0.0046262,            0.018484,            0.006436,            0.006436,            0.006436
                  92,            0.027183,            0.012858,            0.011136,             0.69983,             0.74602,             0.71798,             0.43281,            0.035986,           0.0047185,            0.017093,           0.0063964,           0.0063964,           0.0063964
                  93,            0.027446,            0.012499,            0.012167,             0.77633,             0.72929,             0.73952,             0.45117,             0.03463,           0.0047287,             0.02089,           0.0063568,           0.0063568,           0.0063568
                  94,            0.027765,            0.012969,            0.011663,             0.78182,               0.761,             0.74785,              0.4442,            0.034332,           0.0047635,            0.018095,           0.0063172,           0.0063172,           0.0063172
                  95,            0.027415,            0.012816,             0.01331,             0.69541,             0.68452,             0.70812,             0.41871,            0.033225,           0.0046354,            0.020121,           0.0062776,           0.0062776,           0.0062776
                  96,            0.027019,            0.012954,            0.012768,             0.72926,             0.67646,             0.72097,             0.42917,            0.033458,           0.0048316,            0.018068,            0.006238,            0.006238,            0.006238
                  97,            0.027232,            0.012648,            0.012599,             0.71065,             0.69755,             0.71229,             0.42096,            0.035917,            0.004672,            0.020358,           0.0061984,           0.0061984,           0.0061984
                  98,            0.027515,             0.01245,            0.011688,             0.74182,             0.69772,             0.72326,             0.43181,            0.034247,           0.0048059,            0.018404,           0.0061588,           0.0061588,           0.0061588
